491707,97.26,94.67,100.0,94.67,90.9,86.26,92.66,93.09,34,878.92
921571,96.95,94.07,100.0,94.07,89.15,83.63,90.01,93.03,34,887.28
834942,96.87,93.93,100.0,93.93,89.12,83.55,90.41,92.58,34,884.19
549120,97.49,95.11,100.0,95.11,90.74,86.25,92.49,93.28,34,896.74
843809,97.34,94.81,100.0,94.81,90.39,85.37,91.53,93.27,34,928.72
315424,97.1,94.37,100.0,94.37,89.89,84.58,90.99,92.94,34,989.21
645324,97.1,94.37,100.0,94.37,89.3,83.71,90.63,92.36,34,962.37
906976,97.57,95.26,100.0,95.26,91.83,87.56,93.06,94.11,34,880.82
78235,97.03,94.22,100.0,94.22,90.59,85.63,91.81,93.3,34,888.22
340906,97.18,94.52,100.0,94.52,90.33,85.39,91.34,93.56,34,891.75
