487721,86.17,75.69,91.79,81.19,81.33,69.4,87.4,79.15,39,626.56
715120,86.61,76.39,96.49,78.57,80.74,68.56,88.53,77.37,29,462.02
674505,86.73,76.56,92.84,81.37,81.53,69.65,87.56,79.27,26,418.93
841474,85.26,74.31,91.65,79.7,80.8,68.47,88.16,77.34,30,472.21
653789,86.28,75.87,95.83,78.46,81.62,69.67,89.46,77.64,39,696.78
365631,85.37,74.48,90.32,80.94,79.57,66.94,85.35,78.29,22,353.27
164719,85.83,75.17,96.65,77.18,81.51,69.44,90.88,76.22,39,619.62
943803,86.5,76.22,95.85,78.82,81.96,70.26,90.46,77.32,33,514.86
319574,86.95,76.91,94.46,80.55,81.19,69.26,87.68,78.89,24,411.82
60712,85.49,74.65,96.41,76.79,80.08,67.5,88.59,76.37,28,473.4
