491707,97.26,94.67,100.0,94.67,91.73,87.17,93.47,93.33,34,783.54
921571,96.95,94.07,100.0,94.07,91.22,85.91,93.21,92.22,34,793.72
834942,96.87,93.93,100.0,93.93,90.55,85.05,92.18,92.35,34,754.27
549120,97.49,95.11,100.0,95.11,91.06,86.31,92.12,93.7,34,761.77
843809,97.34,94.81,100.0,94.81,91.36,86.59,92.45,93.69,34,730.48
315424,97.1,94.37,100.0,94.37,89.95,84.55,90.87,93.16,34,766.11
645324,97.1,94.37,100.0,94.37,91.26,86.15,92.65,93.05,34,767.89
906976,97.57,95.26,100.0,95.26,91.2,86.19,92.75,92.97,34,805.69
78235,97.03,94.22,100.0,94.22,92.23,87.59,93.86,93.31,34,796.06
340906,97.18,94.52,100.0,94.52,90.77,85.84,92.02,93.32,34,737.59
